;;;;;;;;;;;;;;;;;PROMEDIO
26/06/2017 19:35;360;26/06/2017 19:35;394;26/06/2017 19:36;335;26/06/2017 19:36;392;;26/06/2017 19:35;0,163153875;26/06/2017 19:35;0,149165609;26/06/2017 19:36;0,174309768;26/06/2017 19:36;0,149954415;0,1540913
26/06/2017 19:36;353;26/06/2017 19:35;382;26/06/2017 19:36;335;26/06/2017 19:36;393;;26/06/2017 19:36;0,166197451;26/06/2017 19:35;0,153959806;26/06/2017 19:36;0,174309768;26/06/2017 19:36;0,14955951;0,156572256
26/06/2017 19:36;355;26/06/2017 19:35;390;26/06/2017 19:36;335;26/06/2017 19:36;395;;26/06/2017 19:36;0,165321743;26/06/2017 19:35;0,150747255;26/06/2017 19:36;0,174309768;26/06/2017 19:36;0,148772706;0,154947235
26/06/2017 19:36;355;26/06/2017 19:36;382;26/06/2017 19:36;334;26/06/2017 19:36;393;;26/06/2017 19:36;0,165321743;26/06/2017 19:36;0,153959806;26/06/2017 19:36;0,174773146;26/06/2017 19:36;0,14955951;0,156280353
26/06/2017 19:36;353;26/06/2017 19:36;383;26/06/2017 19:36;334;26/06/2017 19:36;387;;26/06/2017 19:36;0,166197451;26/06/2017 19:36;0,153554577;26/06/2017 19:36;0,174773146;26/06/2017 19:36;0,151944173;0,157232067
26/06/2017 19:36;354;26/06/2017 19:36;383;26/06/2017 19:36;346;26/06/2017 19:36;382;;26/06/2017 19:36;0,165758978;26/06/2017 19:36;0,153554577;26/06/2017 19:36;0,16930199;26/06/2017 19:36;0,153959806;0,157757787
26/06/2017 19:36;357;26/06/2017 19:36;382;26/06/2017 19:36;344;26/06/2017 19:36;378;;26/06/2017 19:36;0,164450954;26/06/2017 19:36;0,153959806;26/06/2017 19:36;0,170200543;26/06/2017 19:36;0,1555914;0,15800072
26/06/2017 19:36;355;26/06/2017 19:36;381;26/06/2017 19:36;336;26/06/2017 19:36;377;;26/06/2017 19:36;0,165321743;26/06/2017 19:36;0,154366097;26/06/2017 19:36;0,17384777;26/06/2017 19:36;0,156001996;0,158563278
26/06/2017 19:36;350;26/06/2017 19:36;384;26/06/2017 19:36;332;26/06/2017 19:36;379;;26/06/2017 19:36;0,167520361;26/06/2017 19:36;0,153150404;26/06/2017 19:36;0,17570408;26/06/2017 19:36;0,155181888;0,158617551
26/06/2017 19:36;348;26/06/2017 19:36;383;26/06/2017 19:36;328;26/06/2017 19:37;379;;26/06/2017 19:36;0,168408616;26/06/2017 19:36;0,153554577;26/06/2017 19:36;0,177582891;26/06/2017 19:37;0,155181888;0,15904836
